ID,ADI,DURAK_KODU,geometry
510126,KARACA CADDESİ,206022,POINT (29.1539549999924 40.9477920005456)
510150,GÜLSUYU MAHALLESİ,206311,POINT (29.1615110331542 40.9336440413414)
681580,KARACAAHMET CEMEVİ,222931,POINT (29.02142099999 41.0129460005559)
681587,ÜSKÜDAR ASKERLİK ŞUBESİ,222951,POINT (29.0291769999902 41.0156880005563)
681692,ÜNALAN ÇARŞI,223621,POINT (29.0660749613841 40.9992449979481)
681684,DEVLET SU İŞLERİ 14. BÖLGE MÜD.,223552,POINT (29.073669999991 41.0078410005551)
264,TEPEÖREN MERKEZ,210512,POINT (29.390347999995 40.9086620005394)
272,MESCİT MAHALLESİ MUHTARLIĞI,210831,POINT (29.3552600000085 40.8944129991191)
2,AYDINLI MUHTARLIĞI,207881,POINT (29.3305259819532 40.8706149739993)
8,YEDEK PARÇACILAR SİTESİ,207911,POINT (29.3393499999946 40.8772610005344)
39,AKFIRAT VİLLALARI,208951,POINT (29.3771220383948 40.9157550242331)
55,ÇAMLI BELDE,209072,POINT (29.3188819602421 40.8694650289863)
63,BALLICA SAPAĞI,209472,POINT (29.3905259999949 40.9467490005455)
80,YANKI SOKAK - CEMEVİ,206351,POINT (29.3292839999945 40.8642920005325)
88,FATİH MAHALLESİ,206761,POINT (29.3438669999945 40.9298230005428)
659528,ZEYTİNBURNU,-338,POINT (28.8918919773179 41.0010139971924)
659530,ZEYTİNBURNU,-339,POINT (28.8918239974098 41.001098001579)
659535,ZEYTİNBURNU,306211,POINT (28.8923159999866 41.0013320005538)
659536,ZEYTİNBURNU,301211,POINT (28.8917149999866 41.0012840005538)
659539,ŞİRİNEVLER,-346,POINT (28.8450339585848 40.9914780276081)
659541,İNCİRLİ,-348,POINT (28.8700540295937 40.9941400302754)
659545,YENİBOSNA METRO,-351,POINT (28.8379000140098 40.9908329915154)
659546,YENİBOSNA METRO,-352,POINT (28.8378289893873 40.9906070314053)
659550,YENİBOSNA METRO,313521,POINT (28.8374169922445 40.9907230187957)
659552,YENİBOSNA METRO,-356,POINT (28.8375590400025 40.9904549871803)
659557,YEŞİLKÖY PAZARI,179021,POINT (28.8172969999832 40.9640340005475)
659558,YEŞİLKÖY PAZARI,103502,POINT (28.8168190324743 40.9645499897583)
659562,SİNAN ERDEM SPOR SALONU,103452,POINT (28.8525179999852 40.9880590005517)
659567,HALKALI CADDESİ,103491,POINT (28.820575999984 40.9624880005476)
659571,MENEKŞE,103531,POINT (28.7764909999817 40.9763300005497)
659574,HAVA MÜZESİ,103542,POINT (28.8253579999842 40.9632010005477)
659577,SU ÖZÜ,103843,POINT (28.8759349999858 40.9937780005525)
659581,İSTANBUL AKVARYUM,103891,POINT (28.800474999983 40.9646250005479)
